gps_point,dbh,type,dead,species
32,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
32,30,Broadleaves,FALSE,Castanea crenata Siebold et Zucc.
32,10,Broadleaves,FALSE,Castanea crenata Siebold et Zucc.
32,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
32,10,Q. crispula,FALSE,Quercus crispula Blume
32,10,Q. crispula,FALSE,Quercus crispula Blume
32,50,Q. crispula,TRUE,Quercus crispula Blume
32,10,Q. crispula,TRUE,Quercus crispula Blume
32,30,Q. crispula,FALSE,Quercus crispula Blume
34,50,F. crenata,FALSE,Fagus crenata Blume
34,50,F. crenata,FALSE,Fagus crenata Blume
34,30,F. crenata,FALSE,Fagus crenata Blume
34,30,F. crenata,FALSE,Fagus crenata Blume
34,30,Q. crispula,TRUE,Quercus crispula Blume
34,30,Q. crispula,TRUE,Quercus crispula Blume
34,30,Q. crispula,TRUE,Quercus crispula Blume
34,30,Q. crispula,TRUE,Quercus crispula Blume
34,10,Q. crispula,TRUE,Quercus crispula Blume
34,30,Q. crispula,TRUE,Quercus crispula Blume
35,30,Q. crispula,FALSE,Quercus crispula Blume
35,10,Q. crispula,FALSE,Quercus crispula Blume
35,30,Q. crispula,TRUE,Quercus crispula Blume
35,30,Q. crispula,TRUE,Quercus crispula Blume
35,30,Q. crispula,TRUE,Quercus crispula Blume
35,10,Q. crispula,FALSE,Quercus crispula Blume
35,30,Q. crispula,TRUE,Quercus crispula Blume
35,30,Q. crispula,TRUE,Quercus crispula Blume
35,30,Q. crispula,TRUE,Quercus crispula Blume
35,10,Broadleaves,FALSE,Populus tremula L.  var. sieboldii (Miq.) Kudo 
35,10,Broadleaves,FALSE,Populus tremula L.  var. sieboldii (Miq.) Kudo 
35,10,Broadleaves,FALSE,Populus tremula L.  var. sieboldii (Miq.) Kudo 
36,30,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
36,50,Broadleaves,FALSE,Aesculus turbinata Blume
36,50,Q. crispula,TRUE,Quercus crispula Blume
36,30,Broadleaves,FALSE,Broadleavess spp.
39,10,Broadleaves,FALSE,Cornus controversa Hemsl. ex Prain
39,30,Q. crispula,FALSE,Quercus crispula Blume
39,30,Q. crispula,FALSE,Quercus crispula Blume
39,30,Q. crispula,FALSE,Quercus crispula Blume
39,30,Q. crispula,FALSE,Quercus crispula Blume
39,30,Q. crispula,FALSE,Quercus crispula Blume
39,30,Q. crispula,FALSE,Quercus crispula Blume
40,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
40,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
40,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
40,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
40,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
40,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
40,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
40,50,Q. crispula,TRUE,Quercus crispula Blume
40,30,Q. crispula,FALSE,Quercus crispula Blume
40,50,Q. crispula,TRUE,Quercus crispula Blume
40,30,Q. crispula,TRUE,Quercus crispula Blume
40,50,Q. crispula,TRUE,Quercus crispula Blume
42,10,F. crenata,FALSE,Fagus crenata Blume
42,30,F. crenata,FALSE,Fagus crenata Blume
42,10,F. crenata,FALSE,Fagus crenata Blume
42,10,F. crenata,FALSE,Fagus crenata Blume
42,10,Q. crispula,FALSE,Quercus crispula Blume
42,10,Q. crispula,FALSE,Quercus crispula Blume
43,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
43,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
43,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
43,10,Q. crispula,FALSE,Quercus crispula Blume
43,30,Broadleaves,FALSE,Alnus hirsuta (Spach) Turcz. ex Rupr.  var. sibirica (Spach) C.K.Schneid.
45,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
45,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
45,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
45,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
45,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
45,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
45,10,Q. crispula,FALSE,Quercus crispula Blume
45,30,Q. crispula,TRUE,Quercus crispula Blume
45,10,Q. crispula,TRUE,Quercus crispula Blume
45,30,Q. crispula,TRUE,Quercus crispula Blume
46,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
46,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
46,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
46,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
46,30,Q. crispula,TRUE,Quercus crispula Blume
46,50,Q. crispula,TRUE,Quercus crispula Blume
46,30,Q. crispula,TRUE,Quercus crispula Blume
46,30,Q. crispula,TRUE,Quercus crispula Blume
46,30,Q. crispula,FALSE,Quercus crispula Blume
46,50,Q. crispula,FALSE,Quercus crispula Blume
46,30,Q. crispula,TRUE,Quercus crispula Blume
46,30,Q. crispula,TRUE,Quercus crispula Blume
47,30,Conifer,FALSE,Pinus densiflora Siebold et Zucc.
47,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
47,30,Q. crispula,FALSE,Quercus crispula Blume
47,30,Q. crispula,FALSE,Quercus crispula Blume
47,10,Q. crispula,FALSE,Quercus crispula Blume
47,30,Q. crispula,TRUE,Quercus crispula Blume
47,30,Q. crispula,TRUE,Quercus crispula Blume
47,30,Q. crispula,TRUE,Quercus crispula Blume
47,30,Q. crispula,FALSE,Quercus crispula Blume
47,30,Q. crispula,FALSE,Quercus crispula Blume
47,30,Q. crispula,TRUE,Quercus crispula Blume
47,30,Q. crispula,FALSE,Quercus crispula Blume
48,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
48,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
48,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
48,10,Q. crispula,FALSE,Quercus crispula Blume
48,30,Q. crispula,FALSE,Quercus crispula Blume
48,30,Q. crispula,FALSE,Quercus crispula Blume
48,30,Q. crispula,FALSE,Quercus crispula Blume
48,30,Q. crispula,TRUE,Quercus crispula Blume
48,30,Q. crispula,TRUE,Quercus crispula Blume
49,30,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
49,50,Broadleaves,FALSE,Tilia maximowicziana Shiras.
49,30,Broadleaves,FALSE,Castanea crenata Siebold et Zucc.
49,50,Q. crispula,TRUE,Quercus crispula Blume
49,50,Q. crispula,TRUE,Quercus crispula Blume
49,30,Q. crispula,TRUE,Quercus crispula Blume
49,50,Q. crispula,TRUE,Quercus crispula Blume
49,30,Broadleaves,FALSE,Alnus hirsuta (Spach) Turcz. ex Rupr.  var. sibirica (Spach) C.K.Schneid.
50,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
50,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
50,30,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
50,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
50,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
50,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
50,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
50,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
50,30,Q. crispula,FALSE,Quercus crispula Blume
51,30,Q. crispula,TRUE,Quercus crispula Blume
51,30,Q. crispula,FALSE,Quercus crispula Blume
51,30,Q. crispula,TRUE,Quercus crispula Blume
51,30,Q. crispula,TRUE,Quercus crispula Blume
51,30,Q. crispula,TRUE,Quercus crispula Blume
51,30,Q. crispula,TRUE,Quercus crispula Blume
51,30,Q. crispula,FALSE,Quercus crispula Blume
51,30,Q. crispula,TRUE,Quercus crispula Blume
51,30,Q. crispula,TRUE,Quercus crispula Blume
51,30,Q. crispula,TRUE,Quercus crispula Blume
51,10,Q. crispula,TRUE,Quercus crispula Blume
51,30,Q. crispula,FALSE,Quercus crispula Blume
51,30,Q. crispula,TRUE,Quercus crispula Blume
51,30,Q. crispula,FALSE,Quercus crispula Blume
51,30,Q. crispula,TRUE,Quercus crispula Blume
51,30,Q. crispula,TRUE,Quercus crispula Blume
51,10,Q. crispula,TRUE,Quercus crispula Blume
51,30,Q. crispula,TRUE,Quercus crispula Blume
52,30,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
52,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
52,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
52,30,Q. crispula,TRUE,Quercus crispula Blume
52,30,Q. crispula,FALSE,Quercus crispula Blume
52,10,Q. crispula,FALSE,Quercus crispula Blume
52,30,Q. crispula,FALSE,Quercus crispula Blume
53,30,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
53,30,Broadleaves,FALSE,Tilia maximowicziana Shiras.
53,10,Broadleaves,FALSE,Cornus controversa Hemsl. ex Prain
53,30,Q. crispula,TRUE,Quercus crispula Blume
53,30,Q. crispula,TRUE,Quercus crispula Blume
53,30,Q. crispula,TRUE,Quercus crispula Blume
53,30,Q. crispula,TRUE,Quercus crispula Blume
53,30,Q. crispula,TRUE,Quercus crispula Blume
53,30,Q. crispula,TRUE,Quercus crispula Blume
53,30,Q. crispula,TRUE,Quercus crispula Blume
53,30,Q. crispula,TRUE,Quercus crispula Blume
53,10,Q. crispula,FALSE,Quercus crispula Blume
53,30,Q. crispula,FALSE,Quercus crispula Blume
53,30,Q. crispula,TRUE,Quercus crispula Blume
53,50,Q. crispula,TRUE,Quercus crispula Blume
53,10,Q. crispula,TRUE,Quercus crispula Blume
53,10,Q. crispula,TRUE,Quercus crispula Blume
54,30,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
54,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
54,30,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
54,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
54,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
54,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
54,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
54,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
54,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
54,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
54,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
54,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
54,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
54,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
54,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
54,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
54,30,Q. crispula,TRUE,Quercus crispula Blume
54,50,Q. crispula,TRUE,Quercus crispula Blume
54,30,Q. crispula,TRUE,Quercus crispula Blume
55,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
55,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
55,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
55,50,Broadleaves,FALSE,Castanea crenata Siebold et Zucc.
55,30,Broadleaves,FALSE,Magnolia obovata Thunb.
55,30,Broadleaves,FALSE,Magnolia obovata Thunb.
55,30,Q. crispula,TRUE,Quercus crispula Blume
55,10,Q. crispula,FALSE,Quercus crispula Blume
55,10,Q. crispula,FALSE,Quercus crispula Blume
55,30,Q. crispula,FALSE,Quercus crispula Blume
55,30,Q. crispula,TRUE,Quercus crispula Blume
55,30,Q. crispula,FALSE,Quercus crispula Blume
55,30,Q. crispula,FALSE,Quercus crispula Blume
56,30,Broadleaves,FALSE,Ulmus laciniata (Trautv.) Mayr
56,50,Broadleaves,FALSE,Castanea crenata Siebold et Zucc.
56,30,Broadleaves,FALSE,Castanea crenata Siebold et Zucc.
56,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
56,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
56,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
56,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
56,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
56,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
56,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
56,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
56,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
56,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
56,10,Q. crispula,FALSE,Quercus crispula Blume
56,30,Q. crispula,FALSE,Quercus crispula Blume
56,30,Q. crispula,FALSE,Quercus crispula Blume
56,30,Q. crispula,FALSE,Quercus crispula Blume
56,30,Broadleaves,FALSE,Broadleavess spp.
57,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
57,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
57,10,Broadleaves,FALSE,Cerasus leveilleana (Koehne) H.Ohba
57,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
57,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
57,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
57,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
57,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
57,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
57,10,Q. crispula,FALSE,Quercus crispula Blume
57,30,Q. crispula,FALSE,Quercus crispula Blume
57,30,Q. crispula,FALSE,Quercus crispula Blume
58,10,Broadleaves,FALSE,Castanea crenata Siebold et Zucc.
58,30,Broadleaves,FALSE,Pterocarya rhoifolia Siebold et Zucc.
58,30,Broadleaves,FALSE,Pterocarya rhoifolia Siebold et Zucc.
58,30,Q. crispula,TRUE,Quercus crispula Blume
58,30,Q. crispula,FALSE,Quercus crispula Blume
58,30,Q. crispula,FALSE,Quercus crispula Blume
58,30,Q. crispula,FALSE,Quercus crispula Blume
59,30,Broadleaves,FALSE,Cornus controversa Hemsl. ex Prain
59,50,Q. crispula,TRUE,Quercus crispula Blume
60,30,Broadleaves,FALSE,Acer sieboldianum Miq.
60,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
60,30,Q. crispula,TRUE,Quercus crispula Blume
60,30,Q. crispula,TRUE,Quercus crispula Blume
60,10,Broadleaves,FALSE,Broadleavess spp.
61,50,Broadleaves,FALSE,Carpinus laxiflora (Siebold et Zucc.) Blume
61,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
61,30,Q. crispula,TRUE,Quercus crispula Blume
61,30,Q. crispula,TRUE,Quercus crispula Blume
61,50,Q. crispula,TRUE,Quercus crispula Blume
